Brand,Term Sheet,Agreement,FSSAI,Final Menu,PDC,Employee List,Medicals,Police Verification,Pending Count,Remarks
Milkbar,Done,Done,Pending,Pending,Pending,Pending,Pending,Pending,6,
Big Bear,Done,Done,Done,Pending,Pending,Pending,Pending,Pending,5,
BBF,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,8,Term sheet & agreement not signed by owner
Koby's,Done,Done,Done,Done,Pending,Pending,Pending,Pending,4,
Eggspert,Done,Pending,Pending,Pending,Pending,Pending,Done,Pending,6,Agreement not signed
Chatpata Affair,Pending,Pending,Pending,Done,Pending,Pending,Pending,Pending,7,Term sheet & agreement not signed
The Coffee Vault,Done,Done,Done,Pending,Pending,Pending,Pending,Pending,4,
Og Pizza,Done,Done,Done,Done,Pending,Done,Pending,Pending,3,PDC to be collected from truck
The Momo Box,Pending,Pending,Done,Pending,Pending,Pending,Pending,Pending,7,Term sheet & agreement not signed by owner
Burrito Bros,Pending,Pending,Done,Pending,Pending,Pending,Pending,Pending,7,Term sheet & agreement not signed
